Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-10-13, the article 'Bill Barr's meeting with Fox News chairman should be investigated' has a sentiment score of Sentiment(polarity=0.130814639905549, subjectivity=0.5129345402072676)
On 2019-10-13, the article 'Joe Biden on call for Trump-Ukraine probe: 'I'm the reason there is impeachment going on'' has a sentiment score of Sentiment(polarity=-0.035797827903091065, subjectivity=0.33846073517126146)
On 2019-10-13, the article 'It's debate week! (And 4 other stories to watch)' has a sentiment score of Sentiment(polarity=0.06724598930481283, subjectivity=0.3462121212121212)
On 2019-10-13, the article 'Here's what's coming this week on impeachment as Congress returns to Washington' has a sentiment score of Sentiment(polarity=0.06043417366946778, subjectivity=0.3384920634920634)
On 2019-10-13, the article 'Hunter Biden to step down from Chinese company board and not work for foreign-owned firms if father elected' has a sentiment score of Sentiment(polarity=-0.007341269841269842, subjectivity=0.27817460317460313)
On 2019-10-13, the article 'Washington Post: US envoy to the European Union to tell Congress Trump relayed to him 'no quid pro quo' text' has a sentiment score of Sentiment(polarity=0.11390107640107643, subjectivity=0.41106236106236105)
On 2019-10-13, the article 'The chronicles of Rudy and Don' has a sentiment score of Sentiment(polarity=0.14663100688280542, subjectivity=0.5292292140313722)
On 2019-10-11, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04470425407925409, subjectivity=0.34149623524623507)
On 2019-10-13, the article ''SNL' gets help from Billy Porter, Woody Harrelson and Lin-Manuel Miranda in send-up presidential town hall' has a sentiment score of Sentiment(polarity=0.21417072510822507, subjectivity=0.4669534632034632)
On 2019-10-12, the article 'Rudy Giuliani tells CNN he's unaware he's under investigation for Ukraine involvement' has a sentiment score of Sentiment(polarity=0.0699505928853755, subjectivity=0.3173836187966622)
On 2019-10-13, the article 'Trump threatens to sue top Democrats Adam Schiff and Nancy Pelosi amid impeachment inquiry' has a sentiment score of Sentiment(polarity=-0.20734375, subjectivity=0.41640624999999987)
On 2019-10-11, the article 'Pain and progress: CNN's LGBTQ town halls mark historic political moment' has a sentiment score of Sentiment(polarity=0.12073260073260073, subjectivity=0.46833000333000313)
On 2019-10-12, the article 'Take a deep breath and learn about the latest breaking news in the impeachment inquiry' has a sentiment score of Sentiment(polarity=0.046512794136556526, subjectivity=0.4022515108653722)
On 2019-10-11, the article 'Elizabeth Warren targets Facebook's ad policy -- with a Facebook ad' has a sentiment score of Sentiment(polarity=0.09388619854721551, subjectivity=0.4559826472962065)
On 2019-10-12, the article 'Manhattan US attorney in the spotlight with another high profile investigation of Trump's inner circle' has a sentiment score of Sentiment(polarity=0.06768013060385941, subjectivity=0.42730207645461876)
On 2019-10-12, the article 'Harry Reid warns Democrats: Trump is a 'very, very smart man' who won't be easily beaten in 2020' has a sentiment score of Sentiment(polarity=0.05508708345917649, subjectivity=0.4789982885331723)
On 2019-10-12, the article 'Why it's Joe Biden, Elizabeth Warren and then everybody else' has a sentiment score of Sentiment(polarity=0.24732030900134352, subjectivity=0.42104717121958496)
On 2019-10-11, the article 'Trump questions protections for whistleblower whose complaint prompted impeachment inquiry' has a sentiment score of Sentiment(polarity=0.0641025641025641, subjectivity=0.3775641025641026)
On 2019-10-10, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.05875876290769903, subjectivity=0.37402733856634546)
On 2019-10-11, the article 'First on CNN: Nearly 30 former State and national security officials call on Pompeo to defend former ambassador to Ukraine' has a sentiment score of Sentiment(polarity=0.0006854256854256779, subjectivity=0.25082972582972574)
On 2019-10-11, the article 'Mike Pompeo's senior adviser resigns' has a sentiment score of Sentiment(polarity=0.07277777777777779, subjectivity=0.3558333333333332)
On 2019-10-11, the article 'Former US ambassador to Ukraine says Trump wanted her removed and blames 'unfounded and false claims'' has a sentiment score of Sentiment(polarity=0.04186451569264069, subjectivity=0.3895080830627707)
On 2019-10-11, the article 'Trump ends his messy week on a MAGA note' has a sentiment score of Sentiment(polarity=0.007877640036730941, subjectivity=0.40389348025711674)
On 2019-10-04, the article 'Here's how much 2020 Democrats raised in the third quarter' has a sentiment score of Sentiment(polarity=0.05017825311942959, subjectivity=0.3213458110516934)
On 2019-10-10, the article 'Republicans still dodging questions about Trump's calls for foreign countries to investigate Biden' has a sentiment score of Sentiment(polarity=0.03911150983519404, subjectivity=0.43290233158654207)
On 2019-10-11, the article 'What arrests mean for Giuliani and Trump' has a sentiment score of Sentiment(polarity=0.06589795008912656, subjectivity=0.3833444741532977)
On 2019-10-11, the article 'Giving prisoners a shot at a college education can turn lives around. But they need the government's help' has a sentiment score of Sentiment(polarity=0.16237164881901722, subjectivity=0.45214703425229735)
On 2013-05-30, the article 'Rudy Giuliani Fast Facts' has a sentiment score of Sentiment(polarity=0.03465185049692091, subjectivity=0.3160203646119139)
On 2019-10-11, the article 'For the LGBTQ community, the 'T' is no longer silent' has a sentiment score of Sentiment(polarity=0.11204960317460315, subjectivity=0.4204297924297923)
On 2019-10-11, the article '5 explosive lines from ex-ambassador Marie Yovanovitch's statement to Congress' has a sentiment score of Sentiment(polarity=0.0333455522971652, subjectivity=0.4680514825676116)
On 2019-10-11, the article 'Vulnerable GOP senator dodges question on whether Trump's ask to China and Ukraine are wrong' has a sentiment score of Sentiment(polarity=0.022536945812807876, subjectivity=0.46963054187192116)
On 2019-10-11, the article 'Rudy Giuliani said he was flying to Vienna just before associates were arrested before reportedly trying to go to Vienna' has a sentiment score of Sentiment(polarity=-0.04948347107438016, subjectivity=0.21081267217630859)
On 2019-10-03, the article 'Source: Bias cited by intel watchdog includes that whistleblower is a registered Democrat' has a sentiment score of Sentiment(polarity=0.04029947916666667, subjectivity=0.4300781249999999)
On 2019-10-11, the article 'Maryland GOP Gov. Larry Hogan said he supports impeachment inquiry' has a sentiment score of Sentiment(polarity=0.12631578947368421, subjectivity=0.39064327485380107)
On 2019-10-11, the article 'Protesters interrupt CNN LGBTQ town hall to highlight plight of black transgender women' has a sentiment score of Sentiment(polarity=0.04825571563852815, subjectivity=0.4235569985569985)
On 2019-10-11, the article 'One day, one president, two very different opinions of Fox' has a sentiment score of Sentiment(polarity=0.12090136540608236, subjectivity=0.4606847450243676)
On 2019-10-10, the article 'Trump targets Somali refugees during Minnesota rally' has a sentiment score of Sentiment(polarity=0.1589473819830963, subjectivity=0.4583487940630798)
On 2019-10-11, the article 'EU Ambassador set to testify Thursday in impeachment inquiry' has a sentiment score of Sentiment(polarity=0.07190252276459173, subjectivity=0.33997611583818477)
On 2019-10-11, the article 'Teamsters kick off endorsement process as 2020 Democrats race for labor support' has a sentiment score of Sentiment(polarity=0.1406100021377799, subjectivity=0.44404588210143764)
On 2019-10-11, the article 'Catch up on the latest news on Rudy Giuliani, his associates and the impeachment inquiry' has a sentiment score of Sentiment(polarity=0.04441919191919192, subjectivity=0.3178787878787878)
On 2019-10-11, the article 'Giuliani's intrigue comes back to haunt Trump after arrest of associates' has a sentiment score of Sentiment(polarity=0.07903087478559176, subjectivity=0.34877429959977135)
On 2019-10-11, the article 'Washington Post: National security officials raised concerns about Trump's Ukraine approach before July call' has a sentiment score of Sentiment(polarity=0.0980176767676768, subjectivity=0.29724747474747465)
On 2019-10-11, the article '5 things to know for October 11: Impeachment inquiry, Brexit, NBA controversy' has a sentiment score of Sentiment(polarity=0.04293831168831169, subjectivity=0.42513990074965696)
On 2019-10-09, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.044428203604674185, subjectivity=0.3265170260023198)
On 2019-10-11, the article 'Must-see moments from CNN's LGBTQ town hall' has a sentiment score of Sentiment(polarity=0.16999999999999998, subjectivity=0.5900000000000001)
On 2019-10-09, the article 'CNN's LGBTQ Town Hall' has a sentiment score of Sentiment(polarity=0.09665742486306998, subjectivity=0.44711554972307743)
On 2019-10-11, the article '9 takeaways from CNN's Equality Town Hall' has a sentiment score of Sentiment(polarity=0.06630565862708719, subjectivity=0.44634293616436477)
On 2019-10-11, the article 'Trump's former top Russia adviser to testify she was unaware of some aspects of Ukraine scandal, source says' has a sentiment score of Sentiment(polarity=0.12666666666666665, subjectivity=0.28777777777777774)
On 2019-10-11, the article 'Trump says he 'doesn't know' Giuliani's Ukrainian associates. Here's what we do know' has a sentiment score of Sentiment(polarity=0.10020178197064987, subjectivity=0.3710796645702306)
On 2019-10-11, the article ''Someone who has never been hungry for the spotlight:' Meet the ambassador at the center of the Ukraine controversy' has a sentiment score of Sentiment(polarity=0.027204556064850186, subjectivity=0.36562155165096333)
On 2019-10-11, the article 'Trump's ex-national security adviser: 'Absolutely not' appropriate for presidents to ask for foreign interference in US politics' has a sentiment score of Sentiment(polarity=-0.06931818181818182, subjectivity=0.26249999999999996)
On 2019-10-11, the article 'New charges to Giuliani associates renew concern about foreign money in elections' has a sentiment score of Sentiment(polarity=0.032629202073646515, subjectivity=0.32101170434503773)
On 2019-10-10, the article 'Two men connected to Giuliani's Ukraine efforts charged with funneling foreign money into US election' has a sentiment score of Sentiment(polarity=0.00389610389610389, subjectivity=0.253423520923521)
On 2019-10-10, the article 'Top House Republican says he's donating money connected to indicted associates of Rudy Giuliani' has a sentiment score of Sentiment(polarity=-0.0494047619047619, subjectivity=0.20654761904761906)
On 2019-10-10, the article 'Who's who in the Giuliani-linked indictment' has a sentiment score of Sentiment(polarity=0.048569784645734006, subjectivity=0.2896946408022358)
On 2019-10-04, the article 'Republican response tracker: GOP mostly silent on Trump's call to investigate Biden' has a sentiment score of Sentiment(polarity=-0.0632906147757633, subjectivity=0.4112836283628364)
On 2019-10-10, the article 'Giuliani dealings with associates scrutinized as part of investigation' has a sentiment score of Sentiment(polarity=-0.005166666666666668, subjectivity=0.2126666666666667)
